SAMPID,Sample,Tissue
GTEX-11NUK-0226-SM-5A5L4,sample447,Muscle
GTEX-11NUK-0326-SM-5HL5K,sample448,Adipose Tissue
GTEX-11NUK-0526-SM-5A5L5,sample449,Blood Vessel
GTEX-11NUK-0726-SM-5A5ME,sample450,Blood Vessel
GTEX-11NUK-0926-SM-5HL57,sample451,Heart
GTEX-11NUK-1026-SM-5HL5J,sample452,Thyroid
GTEX-11NUK-1326-SM-5P9GN,sample453,Esophagus
GTEX-11NUK-1426-SM-5HL68,sample454,Esophagus
GTEX-11NUK-1726-SM-5A5L2,sample455,Esophagus
GTEX-11NUK-2026-SM-5PNVZ,sample456,Adipose Tissue
GTEX-11NUK-2726-SM-5A5MC,sample457,Skin
GTEX-11NUK-2926-SM-5A5MD,sample458,Brain
GTEX-11NUK-3026-SM-5986K,sample459,Brain
GTEX-11NV4-0005-SM-5N9EX,sample460,Blood
GTEX-11NV4-0008-SM-5Q5BA,sample461,Skin
GTEX-11NV4-0011-R5a-SM-5NQ88,sample462,Brain
GTEX-11NV4-0011-R6a-SM-57WD5,sample463,Brain
GTEX-11NV4-0011-R7a-SM-57WDH,sample464,Brain
GTEX-11NV4-0326-SM-5HL58,sample465,Muscle
GTEX-11NV4-0526-SM-5N9BF,sample466,Blood Vessel
GTEX-11NV4-0626-SM-5N9BR,sample467,Thyroid
GTEX-11NV4-0826-SM-5BC4S,sample468,Heart
GTEX-11NV4-1426-SM-5BC4W,sample469,Adipose Tissue
GTEX-11NV4-2126-SM-5N9DS,sample470,Brain
GTEX-11NV4-2226-SM-5BC4T,sample471,Brain
GTEX-11O72-0006-SM-5O9DB,sample472,Blood
GTEX-11O72-0008-SM-5Q5DN,sample473,Skin
GTEX-11O72-0011-R5a-SM-DO922,sample474,Brain
GTEX-11O72-0011-R6a-SM-DNZZQ,sample475,Brain
GTEX-11O72-0126-SM-59887,sample476,Skin
GTEX-11O72-0226-SM-59869,sample477,Adipose Tissue
GTEX-11O72-0326-SM-5986D,sample478,Muscle
GTEX-11O72-0426-SM-5BC5B,sample479,Blood Vessel
GTEX-11O72-0626-SM-5PNYE,sample480,Skin
GTEX-11O72-1026-SM-5986B,sample481,Heart
GTEX-11O72-1126-SM-5N9E2,sample482,Heart
GTEX-11O72-1926-SM-5PNW1,sample483,Esophagus
GTEX-11O72-2026-SM-5N9G8,sample484,Esophagus
GTEX-11O72-2226-SM-5PNW2,sample485,Colon
GTEX-11O72-2326-SM-5BC7H,sample486,Thyroid
GTEX-11O72-2826-SM-5HL6W,sample487,Brain
GTEX-11O72-2926-SM-5BC4V,sample488,Brain
GTEX-11OC5-0004-SM-5S2O6,sample489,Blood
GTEX-11OC5-0006-SM-5N9FA,sample490,Blood
GTEX-11OC5-0008-SM-5S2OH,sample491,Skin
GTEX-11OC5-0126-SM-5HL6A,sample492,Skin
GTEX-11OC5-0326-SM-5PNW5,sample493,Muscle
GTEX-11OC5-0426-SM-5Q5AR,sample494,Blood Vessel
GTEX-11OC5-0626-SM-5HL6M,sample495,Brain
GTEX-11OC5-0726-SM-5P9JK,sample496,Brain
GTEX-11OF3-0006-SM-5O9CM,sample497,Blood
GTEX-11OF3-0008-SM-5S2NH,sample498,Skin
GTEX-11OF3-0011-R11a-SM-57WCR,sample499,Brain
GTEX-11OF3-0011-R5a-SM-57WB4,sample500,Brain
GTEX-11OF3-0011-R6b-SM-57WBG,sample501,Brain
GTEX-11OF3-0011-R7a-SM-57WCG,sample502,Brain
GTEX-11OF3-0011-R8b-SM-57WCS,sample503,Brain
GTEX-11OF3-0126-SM-5PNYF,sample504,Skin
GTEX-11OF3-0626-SM-5BC4Y,sample505,Thyroid
GTEX-11OF3-0826-SM-5BC51,sample506,Adipose Tissue
GTEX-11OF3-2226-SM-5986F,sample507,Esophagus
GTEX-11OF3-2326-SM-5GU73,sample508,Esophagus
GTEX-11OF3-2426-SM-5Q5AS,sample509,Adipose Tissue
GTEX-11OF3-2526-SM-5P9JL,sample510,Muscle
GTEX-11OF3-2626-SM-5GU7F,sample511,Skin
GTEX-11OF3-2926-SM-5HL78,sample512,Brain
GTEX-11ONC-0005-SM-5O9CY,sample513,Blood
GTEX-11ONC-0008-SM-5S2MG,sample514,Skin
GTEX-11ONC-0011-R1a-SM-57WD4,sample515,Brain
GTEX-11ONC-0011-R4b-SM-DO93H,sample516,Brain
GTEX-11ONC-0011-R5b-SM-DO93I,sample517,Brain
GTEX-11ONC-0011-R6a-SM-DO12A,sample518,Brain
GTEX-11ONC-0011-R7b-SM-DO93J,sample519,Brain
GTEX-11ONC-0011-R8b-SM-5NQ87,sample520,Brain
GTEX-11ONC-0011-R9b-SM-5NQ8J,sample521,Brain
GTEX-11ONC-0126-SM-5PNW6,sample522,Heart
GTEX-11ONC-0926-SM-5BC5E,sample523,Blood Vessel
GTEX-11ONC-1026-SM-5GU64,sample524,Heart
GTEX-11ONC-1126-SM-5GU6G,sample525,Blood Vessel
GTEX-11ONC-1426-SM-5N9F4,sample526,Esophagus
GTEX-11ONC-1526-SM-5GU6S,sample527,Esophagus
GTEX-11ONC-1926-SM-5GU75,sample528,Colon
GTEX-11ONC-2026-SM-5HL61,sample529,Colon
GTEX-11ONC-2426-SM-5GU7H,sample530,Muscle
GTEX-11ONC-2526-SM-5986W,sample531,Adipose Tissue
GTEX-11ONC-2726-SM-5N9DZ,sample532,Blood Vessel
GTEX-11ONC-2926-SM-5P9JM,sample533,Brain
GTEX-11ONC-3026-SM-5985W,sample534,Brain
GTEX-11P7K-0003-SM-5S2OU,sample535,Blood
GTEX-11P7K-0006-SM-5N9FM,sample536,Blood
GTEX-11P7K-0008-SM-5S2O5,sample537,Skin
GTEX-11P7K-0226-SM-5986Z,sample538,Thyroid
GTEX-11P7K-0826-SM-5BC5F,sample539,Adipose Tissue
GTEX-11P7K-1126-SM-5HL4L,sample540,Skin
GTEX-11P7K-1226-SM-5HL4X,sample541,Esophagus
GTEX-11P7K-1326-SM-5BC5G,sample542,Esophagus
GTEX-11P7K-1426-SM-5EGKY,sample543,Esophagus
GTEX-11P7K-1526-SM-5EGI7,sample544,Colon
GTEX-11P7K-1826-SM-5HL5A,sample545,Colon
GTEX-11P7K-1926-SM-5GU6R,sample546,Muscle
GTEX-11P7K-2026-SM-5GU74,sample547,Adipose Tissue
GTEX-11P7K-2126-SM-5GU7G,sample548,Skin
GTEX-11P7K-2326-SM-5EGKZ,sample549,Blood Vessel
GTEX-11P81-0006-SM-5NQ7A,sample550,Blood
GTEX-11P81-0008-SM-5S2OT,sample551,Skin
GTEX-11P81-0126-SM-5HL5Y,sample552,Thyroid
GTEX-11P81-0326-SM-5HL6B,sample553,Blood Vessel
GTEX-11P81-0526-SM-59873,sample554,Heart
GTEX-11P81-0726-SM-5PNYH,sample555,Adipose Tissue
GTEX-11P81-0826-SM-5P9GR,sample556,Esophagus
GTEX-11P81-0926-SM-59874,sample557,Esophagus
GTEX-11P81-1026-SM-5GU54,sample558,Esophagus
GTEX-11P81-1126-SM-5GU5G,sample559,Colon
GTEX-11P81-1426-SM-5P9JN,sample560,Colon
GTEX-11P81-2226-SM-5PNYI,sample561,Skin
GTEX-11P81-2326-SM-59875,sample562,Skin
GTEX-11P81-2426-SM-5GU65,sample563,Adipose Tissue
GTEX-11P81-2526-SM-5GU6H,sample564,Muscle
GTEX-11P81-2726-SM-59876,sample565,Blood Vessel
GTEX-11P82-0006-SM-5N9FY,sample566,Blood
GTEX-11P82-0008-SM-5S2MS,sample567,Skin
GTEX-11P82-0126-SM-5HL72,sample568,Blood Vessel
GTEX-11P82-0226-SM-5HL4O,sample569,Thyroid
GTEX-11P82-0326-SM-5HL51,sample570,Adipose Tissue
GTEX-11P82-0426-SM-5HL5D,sample571,Esophagus
GTEX-11P82-0526-SM-5986P,sample572,Esophagus
GTEX-11P82-0626-SM-5PNYK,sample573,Esophagus
GTEX-11P82-1026-SM-5BC5J,sample574,Colon
GTEX-11P82-1426-SM-DTXFY,sample575,Skin
GTEX-11P82-1626-SM-59879,sample576,Skin
GTEX-11P82-1726-SM-5Q5AT,sample577,Adipose Tissue
GTEX-11P82-1826-SM-5PNYJ,sample578,Muscle
GTEX-11PRG-0005-SM-5NQ6X,sample579,Blood
GTEX-11PRG-0008-SM-5S2N5,sample580,Skin
GTEX-11PRG-0011-R10b-SM-DO93G,sample581,Brain
GTEX-11PRG-0011-R11b-SM-DNZZY,sample582,Brain
GTEX-11PRG-0011-R2a-SM-69LQ5,sample583,Brain
GTEX-11PRG-0011-R4a-SM-DNZZR,sample584,Brain
GTEX-11PRG-0011-R5b-SM-DNZZS,sample585,Brain
GTEX-11PRG-0011-R6b-SM-DO923,sample586,Brain
GTEX-11PRG-0011-R7a-SM-DNZZT,sample587,Brain
GTEX-11PRG-0326-SM-5GU53,sample588,Muscle
GTEX-11PRG-0626-SM-5BC56,sample589,Adipose Tissue
GTEX-11PRG-0726-SM-5EGL1,sample590,Skin
GTEX-11PRG-1526-SM-5HL6Z,sample591,Adipose Tissue
GTEX-11PRG-2026-SM-5GU5F,sample592,Colon
GTEX-11PRG-2826-SM-5BC54,sample593,Brain
GTEX-11PRG-2926-SM-5987A,sample594,Brain
GTEX-11TT1-0004-SM-5S2NT,sample595,Blood
GTEX-11TT1-0005-SM-5NQ8Y,sample596,Blood
GTEX-11TT1-0008-SM-5S2P8,sample597,Skin
GTEX-11TT1-0426-SM-5EGI9,sample598,Esophagus
GTEX-11TT1-0526-SM-5P9JO,sample599,Esophagus
GTEX-11TT1-0626-SM-5GU4X,sample600,Esophagus
GTEX-11TT1-0926-SM-5GU5M,sample601,Colon
GTEX-11TT1-1026-SM-5PNW7,sample602,Colon
GTEX-11TT1-1126-SM-5P9GV,sample603,Thyroid
GTEX-11TT1-1226-SM-5Q5AV,sample604,Blood Vessel
GTEX-11TT1-1326-SM-5PNYM,sample605,Heart
GTEX-11TT1-1426-SM-5EGIA,sample606,Heart
GTEX-11TT1-1526-SM-5EQKU,sample607,Blood Vessel
GTEX-11TT1-1826-SM-5EQLV,sample608,Skin
GTEX-11TT1-1926-SM-5PNYN,sample609,Adipose Tissue
GTEX-11TT1-2326-SM-5GU6N,sample610,Muscle
GTEX-11TT1-2426-SM-5EQMK,sample611,Adipose Tissue
GTEX-11TT1-2526-SM-5EGIB,sample612,Skin
GTEX-11TT1-2726-SM-5LU8L,sample613,Blood Vessel
GTEX-11TTK-0005-SM-5O9BX,sample614,Blood
GTEX-11TTK-0008-SM-5S2RU,sample615,Skin
GTEX-11TTK-0011-R10b-SM-DO925,sample616,Brain
GTEX-11TTK-0011-R11b-SM-DO112,sample617,Brain
GTEX-11TTK-0011-R4a-SM-DNZZU,sample618,Brain
GTEX-11TTK-0011-R5a-SM-DNZZV,sample619,Brain
GTEX-11TTK-0011-R6b-SM-DNZZW,sample620,Brain
GTEX-11TTK-0011-R7b-SM-DNZZZ,sample621,Brain
GTEX-11TTK-0011-R8b-SM-DO111,sample622,Brain
GTEX-11TTK-0126-SM-5987B,sample623,Skin
GTEX-11TTK-0226-SM-5N9EC,sample624,Adipose Tissue
GTEX-11TTK-0326-SM-5BC5N,sample625,Muscle
GTEX-11TTK-0826-SM-5N9EG,sample626,Thyroid
GTEX-11TTK-2426-SM-5PNYO,sample627,Colon
GTEX-11TTK-2826-SM-5GU5K,sample628,Brain
GTEX-11TTK-2926-SM-5PNYP,sample629,Brain
GTEX-11TUW-0006-SM-5LZW2,sample630,Blood
GTEX-11TUW-0008-SM-5SI6S,sample631,Skin
GTEX-11TUW-0011-R10a-SM-DO924,sample632,Brain
GTEX-11TUW-0011-R1a-SM-DO92S,sample633,Brain
GTEX-11TUW-0011-R2b-SM-DO92T,sample634,Brain
GTEX-11TUW-0226-SM-5LU8X,sample635,Thyroid
GTEX-11TUW-0626-SM-5LU9M,sample636,Skin
GTEX-11TUW-0926-SM-5EQMW,sample637,Blood Vessel
GTEX-11TUW-1026-SM-5GU7D,sample638,Heart
GTEX-11TUW-1126-SM-5EQKJ,sample639,Heart
GTEX-11TUW-1226-SM-5GU7C,sample640,Esophagus
GTEX-11TUW-1326-SM-5EQKV,sample641,Esophagus
GTEX-11TUW-2026-SM-5EQL8,sample642,Colon
GTEX-11TUW-2326-SM-5EQMO,sample643,Colon
GTEX-11TUW-2526-SM-5EQKN,sample644,Muscle
GTEX-11TUW-2626-SM-5EQKZ,sample645,Adipose Tissue
GTEX-11TUW-2726-SM-E9J4M,sample646,Skin
GTEX-11TUW-2926-SM-5BC59,sample647,Blood Vessel
GTEX-11UD1-0008-SM-5S2P6,sample648,Skin
GTEX-11UD1-0011-R1b-SM-5BC7D,sample649,Brain
GTEX-11UD1-0011-R2b-SM-5BC6O,sample650,Brain
GTEX-11UD1-0011-R3a-SM-5BC6S,sample651,Brain
GTEX-11UD1-0011-R5b-SM-5P9FP,sample652,Brain
GTEX-11UD1-0126-SM-5PNYG,sample653,Skin
GTEX-11UD1-0226-SM-5EQKL,sample654,Adipose Tissue
GTEX-11UD1-0326-SM-5EQKX,sample655,Muscle
GTEX-11UD2-0005-SM-5NQ9B,sample656,Blood
GTEX-11UD2-0008-SM-5S2P7,sample657,Skin
GTEX-11UD2-0011-R9b-SM-DO926,sample658,Brain
GTEX-11UD2-0126-SM-5EQL2,sample659,Adipose Tissue
GTEX-11UD2-0226-SM-5EQKY,sample660,Skin
GTEX-11UD2-0326-SM-5EQLE,sample661,Muscle
GTEX-11UD2-0526-SM-5GU69,sample662,Blood Vessel
GTEX-11UD2-0626-SM-5GU6L,sample663,Thyroid
GTEX-11UD2-0826-SM-5EQKS,sample664,Blood Vessel
GTEX-11UD2-0926-SM-5CVL6,sample665,Heart
GTEX-11UD2-1126-SM-5EQM6,sample666,Blood Vessel
GTEX-11UD2-1226-SM-5EQMI,sample667,Esophagus
GTEX-11UD2-1526-SM-5EQLQ,sample668,Esophagus
GTEX-11UD2-2526-SM-5CVNU,sample669,Skin
GTEX-11VI4-0001-SM-5S2OI,sample670,Blood
GTEX-11VI4-0006-SM-5N9D8,sample671,Blood
GTEX-11VI4-0226-SM-5GU6C,sample672,Thyroid
GTEX-11VI4-0526-SM-5EQ48,sample673,Esophagus
GTEX-11VI4-0626-SM-5EQLO,sample674,Esophagus
GTEX-11VI4-0826-SM-5GU5N,sample675,Esophagus
GTEX-11VI4-1126-SM-5EQMD,sample676,Skin
GTEX-11VI4-1226-SM-5EQMP,sample677,Adipose Tissue
GTEX-11VI4-1426-SM-5GU6O,sample678,Colon
GTEX-11VI4-1526-SM-5EQKC,sample679,Colon
GTEX-11VI4-1726-SM-5CVLH,sample680,Skin
GTEX-11VI4-1926-SM-5CVLI,sample681,Muscle
GTEX-11VI4-2026-SM-5CVLJ,sample682,Blood Vessel
GTEX-11WQC-0006-SM-5LZVP,sample683,Blood
GTEX-11WQC-0008-SM-5SI6R,sample684,Skin
GTEX-11WQC-0011-R10a-SM-57WCT,sample685,Brain
GTEX-11WQC-0011-R11b-SM-57WD6,sample686,Brain
GTEX-11WQC-0011-R1b-SM-DO932,sample687,Brain
GTEX-11WQC-0011-R2a-SM-DO927,sample688,Brain
GTEX-11WQC-0011-R3a-SM-DO11T,sample689,Brain
GTEX-11WQC-0011-R5a-SM-5BC74,sample690,Brain
GTEX-11WQC-0011-R6a-SM-5BC77,sample691,Brain
GTEX-11WQC-0011-R7b-SM-5BC7A,sample692,Brain
GTEX-11WQC-0011-R8b-SM-57WCH,sample693,Brain
GTEX-11WQC-1826-SM-5GU59,sample694,Skin
GTEX-11WQC-2426-SM-5EQKQ,sample695,Adipose Tissue
GTEX-11WQC-2526-SM-5CVLE,sample696,Skin
GTEX-11WQC-2626-SM-5CVLF,sample697,Muscle
GTEX-11WQC-2726-SM-5CVLG,sample698,Blood Vessel
GTEX-11WQK-0005-SM-5O9AV,sample699,Blood
GTEX-11WQK-0008-SM-5SI6T,sample700,Skin
GTEX-11WQK-0011-R10a-SM-5BC6R,sample701,Brain
GTEX-11WQK-0011-R3b-SM-DO93K,sample702,Brain
GTEX-11WQK-0011-R8a-SM-5BC7C,sample703,Brain
GTEX-11WQK-0011-R9b-SM-5BC6N,sample704,Brain
GTEX-11WQK-0226-SM-5EQLI,sample705,Heart
GTEX-11WQK-0326-SM-5EQL1,sample706,Blood Vessel
GTEX-11WQK-0526-SM-5EQLD,sample707,Skin
GTEX-11WQK-0726-SM-5GU71,sample708,Muscle
GTEX-11WQK-1026-SM-5EQLX,sample709,Skin
GTEX-11WQK-1526-SM-5EGKN,sample710,Adipose Tissue
GTEX-11WQK-1826-SM-5EQM2,sample711,Esophagus
GTEX-11WQK-2226-SM-5CVL7,sample712,Esophagus
GTEX-11WQK-3026-SM-5EQL6,sample713,Brain
GTEX-11XUK-0005-SM-5LU9F,sample714,Blood
GTEX-11XUK-0008-SM-5S2WD,sample715,Skin
GTEX-11XUK-0226-SM-5EQLW,sample716,Thyroid
GTEX-11XUK-0726-SM-5EQMX,sample717,Esophagus
GTEX-11XUK-0826-SM-5GU6P,sample718,Esophagus
GTEX-11XUK-0926-SM-5EQL3,sample719,Esophagus
GTEX-11XUK-1726-SM-5GU61,sample720,Adipose Tissue
GTEX-11XUK-2026-SM-5EQLF,sample721,Skin
GTEX-11XUK-2126-SM-5EQLR,sample722,Adipose Tissue
GTEX-11XUK-2226-SM-5CVLL,sample723,Muscle
GTEX-11XUK-2426-SM-5GU72,sample724,Blood Vessel
GTEX-11ZTS-0005-SM-5NQ8A,sample725,Blood
GTEX-11ZTS-0008-SM-5S2VC,sample726,Skin
GTEX-11ZTS-0011-R10a-SM-DO93S,sample727,Brain
GTEX-11ZTS-0011-R11a-SM-DO113,sample728,Brain
GTEX-11ZTS-0011-R1a-SM-5BC71,sample729,Brain
GTEX-11ZTS-0011-R2b-SM-5BC75,sample730,Brain
GTEX-11ZTS-0011-R3a-SM-5BC78,sample731,Brain
GTEX-11ZTS-0011-R8a-SM-57WDI,sample732,Brain
GTEX-11ZTS-0011-R9b-SM-DO93Q,sample733,Brain
GTEX-11ZTS-0126-SM-5EQ6M,sample734,Skin
GTEX-11ZTS-0226-SM-5EQKD,sample735,Adipose Tissue
GTEX-11ZTS-0326-SM-5EQKP,sample736,Blood Vessel
GTEX-11ZTS-0526-SM-5CVL9,sample737,Muscle
GTEX-11ZTS-0826-SM-5EQ49,sample738,Blood Vessel
GTEX-11ZTS-1026-SM-5LU8O,sample739,Blood Vessel
GTEX-11ZTS-1126-SM-5LU9X,sample740,Thyroid
GTEX-11ZTS-1326-SM-5EQMA,sample741,Adipose Tissue
GTEX-11ZTS-1526-SM-5N9G7,sample742,Colon
GTEX-11ZTS-2626-SM-5EGIC,sample743,Esophagus
GTEX-11ZTS-2726-SM-5EQLU,sample744,Esophagus
GTEX-11ZTS-3226-SM-5EGID,sample745,Brain
GTEX-11ZTT-0002-SM-5S2PA,sample746,Blood
GTEX-11ZTT-0006-SM-5N9FX,sample747,Blood
GTEX-11ZTT-0008-SM-5S2TZ,sample748,Skin
GTEX-11ZTT-0426-SM-5EQLK,sample749,Blood Vessel
GTEX-11ZTT-0526-SM-5EQLA,sample750,Heart
GTEX-11ZTT-0926-SM-5EQMS,sample751,Esophagus
GTEX-11ZTT-1026-SM-5EQKF,sample752,Thyroid
GTEX-11ZTT-1626-SM-5EQKR,sample753,Colon
GTEX-11ZTT-2126-SM-5CVLO,sample754,Skin
GTEX-11ZTT-2426-SM-5EQLS,sample755,Skin
GTEX-11ZTT-2526-SM-5EQM9,sample756,Adipose Tissue
GTEX-11ZTT-2626-SM-5EQKK,sample757,Muscle
GTEX-11ZU8-0005-SM-5PNU5,sample758,Blood
GTEX-11ZU8-0008-SM-5S2VO,sample759,Skin
GTEX-11ZU8-0011-R4a-SM-5BC6Y,sample760,Brain
GTEX-11ZU8-0126-SM-5EQ58,sample761,Skin
GTEX-11ZU8-1126-SM-5EQ5K,sample762,Colon
GTEX-11ZU8-1526-SM-5EGHX,sample763,Esophagus
GTEX-11ZU8-2326-SM-5EQMJ,sample764,Muscle
GTEX-11ZU8-2426-SM-5EQMV,sample765,Adipose Tissue
GTEX-11ZU8-2526-SM-5EQKI,sample766,Skin
GTEX-11ZUS-0006-SM-5O9AJ,sample767,Blood
GTEX-11ZUS-0008-SM-5S2UO,sample768,Skin
GTEX-11ZUS-0011-R11b-SM-5BC7B,sample769,Brain
GTEX-11ZUS-0011-R8a-SM-5BC73,sample770,Brain
GTEX-11ZUS-0011-R9b-SM-5BC76,sample771,Brain
GTEX-11ZUS-0226-SM-5FQT8,sample772,Heart
GTEX-11ZUS-0326-SM-5EQ4W,sample773,Heart
GTEX-11ZUS-0526-SM-59884,sample774,Blood Vessel
GTEX-11ZUS-0626-SM-59885,sample775,Skin
GTEX-11ZUS-0726-SM-59886,sample776,Adipose Tissue
GTEX-11ZUS-0926-SM-5FQSY,sample777,Esophagus
GTEX-11ZUS-1326-SM-5FQUC,sample778,Blood Vessel
GTEX-11ZUS-1426-SM-5FQSP,sample779,Muscle
GTEX-11ZUS-1826-SM-5FQTR,sample780,Adipose Tissue
GTEX-11ZUS-2626-SM-5FQUR,sample781,Skin
GTEX-11ZUS-2826-SM-5EQKW,sample782,Brain
GTEX-11ZUS-2926-SM-5FQSL,sample783,Brain
GTEX-11ZVC-0006-SM-5N9GA,sample784,Blood
GTEX-11ZVC-0011-R1b-SM-5BC6M,sample785,Brain
GTEX-11ZVC-0011-R3a-SM-5BC6V,sample786,Brain
GTEX-11ZVC-0011-R4a-SM-5BC6Z,sample787,Brain
GTEX-11ZVC-0011-R9a-SM-57WC5,sample788,Brain
GTEX-11ZVC-0126-SM-5986G,sample789,Thyroid
GTEX-11ZVC-0326-SM-5CVLC,sample790,Blood Vessel
GTEX-11ZVC-0426-SM-5CVLD,sample791,Heart
GTEX-11ZVC-0526-SM-5N9G1,sample792,Heart
GTEX-11ZVC-2126-SM-5EGJ1,sample793,Colon
GTEX-11ZVC-2526-SM-5FQTE,sample794,Skin
GTEX-11ZVC-2626-SM-5FQTA,sample795,Adipose Tissue
GTEX-11ZVC-2726-SM-5FQSZ,sample796,Muscle
GTEX-11ZVC-2926-SM-5986H,sample797,Blood Vessel
GTEX-11ZVC-3026-SM-59HJM,sample798,Brain
GTEX-1211K-0001-SM-5S2P9,sample799,Blood
GTEX-1211K-0006-SM-5MR53,sample800,Blood
GTEX-1211K-0008-SM-5S2W1,sample801,Skin
GTEX-1211K-0226-SM-59HJY,sample802,Heart
GTEX-1211K-0326-SM-5FQT1,sample803,Blood Vessel
GTEX-1211K-0626-SM-5FQUZ,sample804,Heart
GTEX-1211K-0726-SM-5FQUW,sample805,Thyroid
GTEX-1211K-0926-SM-5FQTL,sample806,Esophagus
GTEX-1211K-1026-SM-5EQ4B,sample807,Esophagus
GTEX-1211K-1226-SM-5EQ4N,sample808,Adipose Tissue
GTEX-1211K-1326-SM-5FQV2,sample809,Esophagus
GTEX-1211K-1526-SM-5FQU4,sample810,Skin
GTEX-1211K-1726-SM-5FQUJ,sample811,Colon
GTEX-1211K-1826-SM-5EGJ2,sample812,Colon
GTEX-1211K-2026-SM-5EQ4Z,sample813,Skin
GTEX-1211K-2126-SM-59HJZ,sample814,Muscle
GTEX-1211K-2226-SM-5FQU6,sample815,Adipose Tissue
GTEX-1211K-2426-SM-59HL8,sample816,Blood Vessel
GTEX-12126-0006-SM-5O9B8,sample817,Blood
GTEX-12126-0008-SM-5S2UC,sample818,Skin
GTEX-12126-0011-R10b-SM-5BC6T,sample819,Brain
GTEX-12126-0011-R11a-SM-5BC6X,sample820,Brain
GTEX-12126-0011-R9b-SM-5BC6P,sample821,Brain
GTEX-12126-0326-SM-5PNW3,sample822,Skin
GTEX-12126-0426-SM-5Q5AP,sample823,Adipose Tissue
GTEX-12126-0526-SM-5PNW4,sample824,Muscle
GTEX-12126-0726-SM-5FQTX,sample825,Blood Vessel
GTEX-12126-0826-SM-5FQTZ,sample826,Skin
GTEX-12126-0926-SM-5FQTW,sample827,Brain
GTEX-12126-1026-SM-5P9JJ,sample828,Brain
GTEX-1212Z-0002-SM-5SI6W,sample829,Blood
GTEX-1212Z-0006-SM-5NQ8M,sample830,Blood
GTEX-1212Z-0008-SM-5TDBW,sample831,Skin
GTEX-1212Z-0011-R1b-SM-5BC72,sample832,Brain
GTEX-1212Z-0126-SM-59HK4,sample833,Skin
GTEX-1212Z-0426-SM-5FQT6,sample834,Thyroid
GTEX-1212Z-0526-SM-5FQSQ,sample835,Adipose Tissue
GTEX-1212Z-0626-SM-5FQTB,sample836,Heart
GTEX-1212Z-0726-SM-5EGI5,sample837,Heart
GTEX-1212Z-0826-SM-5EQ51,sample838,Blood Vessel
GTEX-1212Z-1826-SM-5FQSH,sample839,Colon
GTEX-1212Z-2026-SM-5N9EA,sample840,Esophagus
GTEX-1212Z-2126-SM-5FQTM,sample841,Esophagus
GTEX-1212Z-2426-SM-5EQ5D,sample842,Adipose Tissue
GTEX-1212Z-2526-SM-5EGKP,sample843,Skin
GTEX-1212Z-2626-SM-5YY8P,sample844,Muscle
GTEX-1212Z-2826-SM-59HJ5,sample845,Blood Vessel
GTEX-12584-0005-SM-5N9GM,sample846,Blood
GTEX-12584-0008-SM-664MB,sample847,Skin
GTEX-12584-0011-R6a-SM-5NQ7C,sample848,Brain
GTEX-12584-0126-SM-5EGKQ,sample849,Skin
GTEX-12584-0226-SM-5EQL5,sample850,Adipose Tissue
GTEX-12584-0426-SM-5FQTT,sample851,Blood Vessel
GTEX-12584-0526-SM-5FQTS,sample852,Muscle
GTEX-12584-0726-SM-5FQTK,sample853,Skin
GTEX-12584-0826-SM-5FQSK,sample854,Thyroid
GTEX-12584-0926-SM-5FQTN,sample855,Heart
GTEX-12584-1026-SM-59HK3,sample856,Heart
GTEX-12584-2126-SM-5FQUM,sample857,Adipose Tissue
GTEX-12696-0002-SM-5SI6U,sample858,Blood
GTEX-12696-0005-SM-5LZYS,sample859,Blood
GTEX-12696-0008-SM-5TDBX,sample860,Skin
GTEX-12696-0126-SM-5EQ4L,sample861,Skin
GTEX-12696-0326-SM-5EGL4,sample862,Thyroid
GTEX-12696-0426-SM-5EGL5,sample863,Blood Vessel
GTEX-12696-0526-SM-5EQ3Z,sample864,Blood Vessel
GTEX-12696-1126-SM-5FQTI,sample865,Heart
GTEX-12696-1226-SM-5FQSM,sample866,Heart
GTEX-12696-1326-SM-5FQTJ,sample867,Esophagus
GTEX-12696-1426-SM-5EGJ6,sample868,Esophagus
GTEX-12696-1526-SM-5EGL6,sample869,Esophagus
GTEX-12696-1826-SM-5EGJS,sample870,Adipose Tissue
GTEX-12696-1926-SM-5EGJT,sample871,Colon
GTEX-12696-2426-SM-5EQ6H,sample872,Skin
GTEX-12696-2526-SM-5EQLN,sample873,Adipose Tissue
GTEX-12696-2726-SM-5FQUL,sample874,Blood Vessel
GTEX-12696-2826-SM-5FQTY,sample875,Muscle
GTEX-1269C-0003-SM-5S2PB,sample876,Blood
GTEX-1269C-0005-SM-5N9CJ,sample877,Blood
GTEX-1269C-0008-SM-5TDBY,sample878,Skin
GTEX-1269C-0126-SM-5EQ5L,sample879,Skin
GTEX-1269C-0226-SM-5EGKS,sample880,Thyroid
GTEX-1269C-0826-SM-5N9EM,sample881,Heart
GTEX-1269C-1026-SM-5N9EY,sample882,Esophagus
GTEX-1269C-2526-SM-5EGJ3,sample883,Skin
GTEX-1269C-2626-SM-5EQ5C,sample884,Muscle
GTEX-1269C-2726-SM-5EGJ4,sample885,Adipose Tissue
GTEX-1269C-2826-SM-5EQ5O,sample886,Blood Vessel
GTEX-1269C-3126-SM-5EGI6,sample887,Brain
GTEX-12BJ1-0003-SM-5SI6V,sample888,Blood
GTEX-12BJ1-0006-SM-5SIB5,sample889,Blood
